episode: 0, score: -10.3, reward gate: 1, average score: -10.3, steps: 6814
episode: 1, score: 23.3, reward gate: 1, average score: 6.5, steps: 6805
episode: 2, score: -20.68, reward gate: 0, average score: -2.56, steps: 2794
episode: 3, score: -20.64, reward gate: 0, average score: -7.08, steps: 241
episode: 4, score: 42.42, reward gate: 3, average score: 2.82, steps: 6759
episode: 5, score: -2.57, reward gate: 1, average score: 1.92, steps: 3688
episode: 6, score: -6.91, reward gate: 1, average score: 0.66, steps: 571
episode: 7, score: -10.07, reward gate: 1, average score: -0.68, steps: 586
episode: 8, score: 26.97, reward gate: 3, average score: 2.39, steps: 2039
episode: 9, score: -9.97, reward gate: 1, average score: 1.16, steps: 511
episode: 10, score: -10.38, reward gate: 1, average score: 0.11, steps: 677
episode: 11, score: -10.68, reward gate: 1, average score: -0.79, steps: 296
episode: 12, score: -10.78, reward gate: 1, average score: -1.56, steps: 277
episode: 13, score: -21.57, reward gate: 0, average score: -2.99, steps: 518
episode: 14, score: -21.9, reward gate: 0, average score: -4.25, steps: 298
episode: 15, score: 9.28, reward gate: 0, average score: -3.4, steps: 6121
episode: 16, score: 13.41, reward gate: 2, average score: -2.42, steps: 3274
episode: 17, score: -11.02, reward gate: 1, average score: -2.89, steps: 125
episode: 18, score: -7.98, reward gate: 1, average score: -3.16, steps: 294
episode: 19, score: -20.82, reward gate: 0, average score: -4.04, steps: 142
episode: 20, score: -8.53, reward gate: 1, average score: -4.26, steps: 1726
episode: 21, score: -10.5, reward gate: 1, average score: -4.54, steps: 67
episode: 22, score: -11.03, reward gate: 1, average score: -4.82, steps: 69
episode: 23, score: -10.58, reward gate: 1, average score: -5.06, steps: 75
episode: 24, score: -11.13, reward gate: 1, average score: -5.31, steps: 67
episode: 25, score: -10.43, reward gate: 1, average score: -5.5, steps: 102
episode: 26, score: -10.95, reward gate: 1, average score: -5.71, steps: 133
episode: 27, score: -10.94, reward gate: 1, average score: -5.89, steps: 65
episode: 28, score: -10.22, reward gate: 1, average score: -6.04, steps: 67
episode: 29, score: -9.12, reward gate: 1, average score: -6.14, steps: 325
episode: 30, score: -9.13, reward gate: 1, average score: -6.24, steps: 74
episode: 31, score: -9.61, reward gate: 1, average score: -6.35, steps: 64
episode: 32, score: -10.27, reward gate: 1, average score: -6.46, steps: 63
episode: 33, score: -9.96, reward gate: 1, average score: -6.57, steps: 64
episode: 34, score: -10.29, reward gate: 1, average score: -6.67, steps: 77
